Название компании,Email,Телефон
АО «Богатырь Кокс»,odo@bogatyr.kz,+7 7187 28-24-00
АО «Шубарколь Комир»,,+7 7212 50-00-01
АО «Каражыра» (ЕЭК),mail@karazhyra.kz,+7 7232 55-00-10
ТОО «Майкубенуголь»,office@maikuben.kz,+7 7187 29-60-00
АО «Цатэк»,,+7 727 266-68-00
АО «Самрук-Энерго»,info@samruk-energy.kz,+7 7172 55-14-00
АО «ССГПО»,info@ssgpo.kz,+7 7143 91-80-00
АО «АрселорМиттал Темиртау»,info@qarmet.kz,+7 7213 91-50-00
АО «KSP Steel»,logistic@ksp-steel.kz,+7 7182 77-00-00
АО «Казцинк»,kazzinc@kazzinc.com,+7 7232 77-77-77
АО «Казахмыс»,office@kazakhmys.kz,+7 7172 79-76-00
АО «Алюминий Казахстана»,paz@aluminium.kz,+7 7182 51-00-00
АО «ТНК Казхром»,kazchrome@erg.kz,+7 7132 99-00-00
АО «Жайремский ГОК»,,+7 7212 32-00-00
АО «Усть-Каменогорский ЦЗ»,,+7 7232 25-90-00
АО «Балхашцветмет»,,+7 7210 41-00-00
ТОО «Казфосфат»,almaty@kpp.kz,+7 7262 43-31-01
АО «КазАзот»,kazazot@kazazot.kz,+7 7292 33-25-00
АО «АЗХС»,info@azhs.kz,+7 7132 50-24-00
ТОО «Каустик»,,+7 7182 55-16-00
АО «Атырауский ЗНХ»,,+7 7122 25-09-00
ТОО «Казхром» (Донской ГОК),,+7 7132 47-03-00
ТОО «Тенгизшевройл»,tcoinfo@tengizchevroil.com,+7 7122 99-00-00
ТОО «КПО Б.В.» (Карачаганак),informkpo@kpo.kz,+7 7112 50-00-00
АО «Мангистаумунайгаз»,info@mmg.kz,+7 7292 60-05-00
АО «РД КазМунайГаз»,info@kmgep.kz,+7 7172 97-60-00
ТОО «КМГ — ПМ»,Astana@kmg.kz,+7 7172 97-80-00
АО «ПКОП»,info@petrokazakhstan.kz,+7 7182 32-00-01
АО «ШНОС» / PetroKazakhstan,info@shymkentnos.kz,+7 7252 53-43-00
АО «АНПЗ»,ref@anpz.kz,+7 7122 25-00-00
АО «Казгермунай»,kgm@kgm.kz,+7 7132 55-01-00
АО «Продкорпорация»,mail@fcc.kz,+7 7172 79-95-00
ТОО «Агрохолдинг Иволга»,,+7 7142 56-06-06
ТОО «Атамекен-Агро»,info@atameken-agro.com,+7 7152 32-00-00
ТОО «Аша Агро»,,+7 7142 55-00-00
АО «КазАгроФинанс»,info@kaf.kz,+7 7172 97-05-00
ТОО «Зерновая Индустрия»,,+7 727 260-55-00
ТОО «Алтындән Групп»,,+7 7172 30-00-00
АО «Масло-Дел»,,+7 7172 57-70-00
АО «Астана-Финанс» (Aitas),,+7 7172 58-00-00
АО «Жамбыл Цемент» / HeidelbergCement,info@heidelbergmaterials.kz,+7 7252 35-00-00
АО «Стандарт Цемент»,info@standardcement.kz,+7 7252 26-26-26
АО «Карцемент»,,+7 7212 33-05-00
ТОО «Бесткент Цемент»,,+7 7252 40-00-90
АО «Имсталькон»,info@imstalkon.kz,+7 727 299-00-00
ТОО «Гранит»,,+7 7232 25-00-00
ТОО «Ляйлинский ГОК»,,+7 7143 30-00-00
АО «Аральсоль»,,+7 7243 30-00-00
ТОО «Павлодарсоль»,,+7 7182 32-80-00
АО «НАК Казатомпром»,nac@kazatomprom.kz,+7 7172 45-81-00
ТОО «Ульба Металлургический завод»,info@ulba.kz,+7 7232 29-90-00
АО «Алтайский ГОК»,,+7 7232 77-60-00
ТОО «Казмарганец»,,+7 7172 50-00-00
АО «Kazwood» / ТОО «Алтай Орман»,,+7 7232 25-00-00
ТОО «Гофра-Пак»,info@gofra-pak.kz,+7 727 233-11-11
ТОО «Рахат»,rakhat@rakhat.kz,+7 727 279-06-03
ТОО «Эфес Казахстан»,info@efes.kz,+7 727 244-55-00
ТОО «Кока-Кола Казахстан»,hotline@cci.com.kz,+7 727 258-54-00
ТОО «Philip Morris Kazakhstan»,,+7 727 258-40-00
ТОО «Агрос»,,+7 7172 40-20-00
АО «Тенгизшевройл»  (сера),tcoinfo@tengizchevroil.com,+7 7122 99-00-00
ТОО «Казсера»,,+7 7172 27-00-00
АО «Казтранссервис»,info@kts.kz,+7 727 274-90-00
ТОО «Торговый Дом ТМЭК»,,+7 7213 91-50-00
ТОО «Евразия Транс»,,+7 727 296-00-00
ТОО «Astana Mining&Logistics»,,+7 7172 35-00-00
ТОО «Alfa Reil Export»,,+7 727 267-00-00
ТОО «Eurotrans Групп»,info@eurotrans.kz,+7 727 355-00-00
ТОО «YTM Corp»,sales@ytm.kz,+7 727 312-85-00
ТОО «Металлэнергофинанс»,,+7 7172 44-00-00
ТОО «Химаген»,info@himagengroup.kz,+7 727 244-10-00
ТОО «KazGrain Export»,,+7 7172 22-00-00
ТОО «Silkway Agro»,,+7 727 301-00-00
АО «НК КазМунайГаз»,Astana@kmg.kz,+7 7172 97-00-00
ТОО «Казнефтехимтранс»,,+7 7122 28-00-00
