Название компании,Email,Телефон
АО «Қазтеміртранс»,info@kaztt.kz,"+7 (7172) 930-300
+7 (771) 933-30-33"
ТОО «КТЖ — Грузовые перевозки»,ktzh-gp@railways.kz,"+7 (7172) 60-30-30
+7 (7172) 60-32-52"
ТОО «Исткомтранс»,eastcom@ect.kz,+7 (727) 3 555 111
ТОО «ТрансКом»,info-tc@erg.kz,+7 (727) 244-29-90
ТОО «PTC Operator»,info-ptco@ptc-holding.kz,+7 (7172) 277-247
АО «Astyk Trans»,info@astyktrans.com,+7 (7172) 248-580
ТОО «Шынгар Транс» (STLC),Уточнять на сайте,Уточнять на сайте
ТОО «Богатырь Транс»,info@bogatyrtrans.kz,+7 (7182) 53-18-89
ТОО «РТА-Транс»,info@rta-trans.kz,"+7 (727) 311-05-11
+7 (727) 356-05-11"
АО «ОЛЖА»,info@olzha.com,+7 (727) 299-67-00
ТОО «TengizTransGroup»,info@ttgroup.kz,+7 (727) 258-75-20
ТОО «Евротранс Групп»,info@eurotrans.kz,"+7 (7172) 573-888
+7 (708) 425-38-03"
ТОО «НордТЭК»,info@nordtec.kz,+7 (7172) 610-550
ТОО «ЛОГСОФТ»,info@logsoft.kz,+7 (7172) 799-747
ТОО «Alto Logistics»,info@alto-logistics.com,"+7 (727) 311-52-14
+7 (776) 311-52-14"
ТОО «AZURITE LOGISTICS»,azurite.logistics@azurite.trade,+7 (727) 344-30-72
ТОО «Евразия Транзит Групп»,etg_office@mail.ru,+7 (727) 344-10-28
ТОО «РэйлТрансАзия» (РТА),Уточнять на сайте,Уточнять на сайте
ТОО «ABC-RAIL KZ»,office@abc-rail.kz,+7 (7172) 79-27-57
ТОО «Atasu Group» (логистика),info@atasugroup.com,+7 (727) 220-75-75
ТОО «ПромЛогистика»,Уточнять на сайте,Уточнять на сайте
ТОО «Ирбис-1»,office@irbis.kz,+7 (727) 356-08-68
ТОО «Samal-Trans»,Уточнять на сайте,Уточнять на сайте
ТОО «Орда Мультимодал»,ordamultimodal@gmail.com,"+7 (747) 566-89-99
+7 (7172) 64-71-00"
ТОО «Балиос»,Через сайт,"+7 (725 2) 400-800
+7 (707) 400-800"
ТОО «N-TRANS»,office@n-trans.kz,+7 (7212) 91-06-12
ТОО «Petroleum»,office@petroleum.com.kz,+7 (727) 331-30-70
ТОО «ТексолТранс»,office@texol.co,+7 (7122) 76-36-00
АО «КазАзот»,kazazot@kazazot.kz,+7 (7292) 579-814
ТОО «Казфосфат» (ЖТК),zhtk_branch@kpp.kz,+7 (7262) 45-14-94
ТОО «Казцинк-ТемирТранс»,Уточнять у Казцинк,Уточнять у Казцинк
ТОО «АТК Керуен»,a.pan@railcar.kz,+7 (705) 575-14-27
ТОО «Altyn Trans»,office@abc-rail.kz,+7 (7172) 47-66-70
ТОО «Eurasian Caspian Trans»,Уточнять на сайте,Уточнять на сайте
ТОО «SilkwayTransit»,Уточнять на сайте,Уточнять на сайте
ТОО «DAR RAIL»,info@darrail.com,+7 (717) 276-90-26
ТОО «DAR RAIL OPERATOR»,Уточнять у DAR RAIL,Уточнять у DAR RAIL
ТОО «ТК Алмалы»,info@almaly.com,+7 (717) 2-689-765
ТОО «АзияНефтеТранс»,nazarova@kaz.ntsmail.ru,+7 (7172) 272-321
ТОО «Эдельвейс Транс»,edelveistrans@gmail.com,+7 (727) 293-06-22
ТОО «ЖелДорТранс-Актобе»,info@gdta.kz,+7 (7132) 554-599
ТОО «PRO TRANS Logistics»,promit@mail.ru,+7 (727) 239-47-50
ТОО «S.G.M. Group»,toosgm@mail.ru,+7 (725) 40-543-70
ТОО «UniLinkCom»,info@unilinkcom.kz,+7 (727) 376-36-10
ТОО «Южный пояс»,velichko@sbelt.kz,+7 (771) 129-31-19
ТОО «Altyn Trans Logistics»,Уточнять,Уточнять на flagma.kz
ТОО «ТемирТрансСервис»,tts@ttservice.kz,+7 (717) 261-06-26
ТОО «FRS Company»,info@frsco.kz,+7 (727) 346-67-91
ТОО «Trans Caspian Logistics»,Уточнять,Уточнять у TengizTransGroup
